grCode	en	abbreviation	el	otherName
18.01.02.24.001	Alternative Pathway Complement Component		ΑΙΜΟΛΥΤΙΚΟΣ ΤΙΤΛΟΣ ΕΝΑΛΛΑΚΤΙΚΗΣ ΟΔΟΥ ΣΥΜΠΛΗΡΩΜΑΤΟΣ (ΑΝΑ ΠΑΡΑΓΟΝΤΑ)	
18.01.02.25.001	MANNOSE BINDING PROTEIN	MBP	MANNOSE BINDING PROTEIN	
18.01.02.90.900	Other Complement Components		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΣΥΜΠΛΗΡΩΜΑΤΟΣ	
18.02.01.01.001	Histamine		ΙΣΤΑΜΙΝΗ	
18.02.01.02.001	Immunoglobulin E - Total	IgE Total	ΟΛΙΚΗ ΑΝΟΣΟΣΦΑΙΡΙΝΗ Ε	
18.02.01.06.001	Immunoglobulin E - Screen	sp-IgE	ΕΙΔΙΚΕΣ IgE ΕΝΑΝΤΙ ΑΛΛΕΡΓΙΟΓΟΝΩΝ (RAST)	
18.02.01.20.001	Leukocyte Histamine Release	LHR	ΔΟΚΙΜΑΣΙΑ ΑΠΕΛΕΥΘΕΡΩΣΗΣ ΙΣΤΑΜΙΝΗΣ ΑΠΟ ΛΕΥΚΟΚΥΤΤΑΡΑ	
18.02.01.21.001	Tryptase		ΤΡΥΠΤΑΣΗ	
18.02.01.22.001	Allergene specific IgG		IgG ΟΡΟΥ ΕΙΔΙΚΕΣ ΕΝΑΝΤΙ ΑΛΛΕΡΓΙΟΓΟΝΩΝ / ΑΝΑ ΕΙΔΟΣ	
18.02.01.23.001	Eosinophil cationic protein	ECP	ΚΑΤΙΟΝΙΚΗ ΠΡΩΤΕΪΝΗ ΤΩΝ ΗΩΣΙΝΟΦΙΛΩΝ (ECP)	
18.02.01.90.900	Other Allergy Tests		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΕΛΕΓΧΟΥ ΑΛΕΡΓΙΑΣ	
18.04.01.02.001	CDC-T Comlement Depented cytotoxicity with T-cells	anti -HLA abs CDC-T	ΚΥΤΤΑΡΟΤΟΞΙΚΑ ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ Τ ΛΕΜΦΟΚΥΤΤΑΡΩΝ (ΙGG ΚΑΙ IgM)	
18.04.01.02.002	CDC-B Comlement Depented cytotoxicity with B-cells	anti -HLA abs CDC-B	ΚΥΤΤΑΡΟΤΟΞΙΚΑ ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ B ΛΕΜΦΟΚΥΤΤΑΡΩΝ (ΙGG ΚΑΙ IgM)	
18.04.01.02.003	anti -HLA abs detection with Solid Phase Assays Luminex	anti -HLA abs SPI screening lmx	ΚΥΤΤΑΡΟΤΟΞΙΚΑ ΑΝΤΙΣΩΜΑΤΑ ,ΑΝΙΧΝΕΥΣΗ ΑΝΤΙΣΩΜΑΤΩΝ ΕΙΔΙΚΩΝ ΕΝΑΝΤΙ HLA ΑΝΤΙΓΟΝΩΝ ΜΕ ΜΕΘΟΔΟ LUMINEX	
18.04.01.02.004	anti -HLA abs screening with Solid Phase Assays Luminex Class I	anti -HLA abs SPI detection class I lmx	ΚΥΤΤΑΡΟΤΟΞΙΚΑ ΑΝΤΙΣΩΜΑΤΑ,ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΣΩΜΑΤΩΝ ΕΙΔΙΚΩΝ ΓΙΑ HLA ΤΑΞΗΣ Ι ΜΕ ΜΕΘΟΔΟ LUMINEX	
18.04.01.02.005	anti -HLA abs screening with Solid Phase Assays Luminex Class II	anti -HLA abs SPI detection class I lmx	ΚΥΤΤΑΡΟΤΟΞΙΚΑ ΑΝΤΙΣΩΜΑΤΑ,ΤΑΥΤΟΠΟΙΗΣΗ ΑΝΤΙΣΩΜΑΤΩΝ ΕΙΔΙΚΩΝ ΓΙΑ HLA ΤΑΞΗΣ ΙΙ ΜΕ ΜΕΘΟΔΟ LUMINEX	
18.04.01.02.006	anti -HLA abs identification with Solid Phase Assays Luminex Class I	anti -HLA abs SAB class I lmx	ΚΥΤΤΑΡΟΤΟΞΙΚΑ ΑΝΤΙΣΩΜΑΤΑ,ΤΑΥΤΟΠΟΙΗΣΗ ΕΙΔΙΚΟΤΗΤΑΣ ΑΝΤΙΣΩΜΑΤΩΝ ΓΙΑ HLA ΤΑΞΗΣ Ι ΜΕ ΜΕΘΟΔΟ LUMINEX (SINGLE ANTIGEN CLASS I)	
18.04.01.02.007	anti -HLA abs identification with Solid Phase Assays Luminex Class II	anti -HLA abs SAB class II lmx	ΚΥΤΤΑΡΟΤΟΞΙΚΑ ΑΝΤΙΣΩΜΑΤΑ,ΤΑΥΤΟΠΟΙΗΣΗ ΕΙΔΙΚΟΤΗΤΑΣ ΑΝΤΙΣΩΜΑΤΩΝ ΓΙΑ HLA ΤΑΞΗΣ ΙI ΜΕ ΜΕΘΟΔΟ LUMINEX (SINGLE ANTIGEN CLASS II)	
18.04.01.02.008	anti -HLA abs detection with ELISA	anti -HLA abs SPI screening ELISA	ΚΥΤΤΑΡΟΤΟΞΙΚΑ ΑΝΤΙΣΩΜΑΤΑ ,ΑΝΙΧΝΕΥΣΗ ΑΝΤΙΣΩΜΑΤΩΝ ΕΙΔΙΚΩΝ ΕΝΑΝΤΙ HLA ΑΝΤΙΓΟΝΩΝ ΜΕ ΜΕΘΟΔΟ ELISA	
18.04.01.02.009	anti-MICA abs detection with Solid Phase Assays Luminex	abs SPI screening lmx MICA	ANTI-ΜΙCA ΑΝΤΙΣΩΜΑΤΑ, ΑΝΙΧΝΕΥΣΗ ΜΕ LUMINEX	
18.04.01.02.010	anti-MICA abs identification with Solid Phase Assays Luminex	antibodies SAB MICA	ANTI-ΜΙCA ΑΝΤΙΣΩΜΑΤΑ, ΤΑΥΤΟΠΟΙΗΣΗ ΜΕ LUMINEX	
18.04.01.02.011	anti-paternal abs		ΑΝΤΙΠΑΤΡΙΚΑ ΑΝΤΙΣΩΜΑΤΑ	
18.04.01.03.001	Serology HLA typing Class I (ABC)	HLA-ABC (serology)	ΟΡΟΛΟΓΙΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-TAΞΗΣ Ι (ABC)	
18.04.01.03.002	Serology HLA typing Class II (DR,DQ)	HLA-DR,DQ (serology)	ΟΡΟΛΟΓΙΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-TAΞΗΣ ΙI (DR,DQ)	
18.04.01.03.003	Serology typing HLA-B27	HLA-B27(serology)	ΟΡΟΛΟΓΙΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-B27	
18.04.01.03.004	Serology typing HLA-B51	HLA-B51(serology)	ΟΡΟΛΟΓΙΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-B51	
18.04.01.03.005	Serology Paternity testing		ΟΡΟΛΟΓΙΚΟΣ ΕΛΕΓΧΟΣ ΠΑΤΡΟΤΗΤΑΣ ΜΕ HLA ΑΝΤΙΓΟΝΑ	
18.04.01.03.006	Molecular typing of HLA-A Low Res.	DNA HLA-A (LR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-A XAMHΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.007	Molecular typing of HLA-A High Res.	DNA HLA-A (HR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-A ΥΨΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.008	Molecular typing of HLA-B Low Res.	DNA HLA-B (LR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-Β XAMHΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.009	Molecular typing of HLA-B High Res.	DNA HLA-B (HR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-Β ΥΨΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.010	Molecular typing of HLA-B27	DNA HLA-B27	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-Β27	
18.04.01.03.011	Molecular typing of HLA-B57	DNA HLA-B57	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-Β57	
18.04.01.03.012	Molecular typing of HLA-C Low Res.	DNA HLA-C (LR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-C XAMHΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.013	Molecular typing of HLA-C High Res.	DNA HLA-C (HR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-C ΥΨΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.014	Molecular typing of HLA-DRB1 Low Res.	DNA HLA-DRB1(LR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA- DRB1 XAMHΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.015	Molecular typing of HLA-DRB1High Res.	DNA HLA-DRB1 (HR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DRB1 ΥΨΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.016	Molecular typing of HLA-DRB3,4,5 Low Res.	DNA HLA-DRB3,4,5 (LR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DRB3,4,5 XAMHΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.017	Molecular typing of HLA-DRB3,4,5 High Res.	DNA HLA-DRB3,4,5 (HR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DRB3,4,5 ΥΨΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.018	Molecular typing of HLA-DQB1 Low Res.	DNA HLA-DQB (LR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DQB1 ΧΑΜΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.019	Molecular typing of HLA-DQB1High Res.	DNA HLA-DQB1 (HR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DQB1 ΥΨΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.020	Molecular typing of HLA-DQA1 Low Res.	DNA HLA-DQA1 (LR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DQA1 XAMHΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.021	Molecular typing of HLA-DQA1High Res.	DNA HLA-DQA1 (HR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DQA1 ΥΨΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.022	Molecular typing of HLA-DPB1 Low Res.	DNA HLA-DPB1 LOCUS (LR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DPB1 XAMHΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.023	Molecular typing of HLA-DPB1 High Res.	DNA HLA-DPB1(HR)	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ HLA-DPB1 ΥΨΗΛΗΣ ΑΝΑΛΥΣΗΣ	
18.04.01.03.024	Molecular typing of MINORs Ags	DNA MINORs Ag	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ ΑΝΤΙΓΟΝΩΝ EΛΑΣΣΟΝΟΣ ΣΥΣΤΗΜΑΤΟΣ ΙΣΤΟΣΥΜΒΑΤΟΤΗΤΑΣ (MINORS ANTIGENS)	
18.04.01.03.025	Molecular typing of MICA Ag	DNA MICA Ag	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ-MICA	
18.04.01.03.026	Molecular typing of KIRs	DNA KIRs receptors	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ ΥΠΟΔΟΧΕΩΝ ΝΚ ΚΥΤΤΑΡΩΝ (KIRS)	
18.04.01.03.027	Molecular typing of Cytokines	DNA Cytokines	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ ΚΥΤΤΑΡΟΚΙΝΩΝ	
18.04.01.03.028	Molecular typing of SINGLE NUCLEOTIDES POLYMORPHISM	SNPs molecular typing	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ ΜΟΝΟΝΟΥΚΛΕΟΤΙΔΙΚΩΝ ΓΟΝΙΔΙΑΚΩΝ ΠΟΛΥΜΟΡΦΙΣΜΩΝ (SNPS)	
18.04.01.03.029	Human Neutrofil Antigens (HNA) genotyping	DNA-HNA Ag	ΓΟΝΙΔΙΑΚΗ ΤΥΠΟΠΟΙΗΣΗ -ΗΝΑ	
18.04.01.03.030	Paternity DNA testing with HLA alleles		ΓΟΝΙΔΙΑΚΟΣ ΕΛΕΓΧΟΣ ΠΑΤΡΟΤΗΤΑΣ ΜΕ HLA ΑΛΛΗΛΟΜΟΡΦΑ	
18.04.01.03.031	Paternity DNA testing with STRs markers		ΓΟΝΙΔΙΑΚΟΣ ΕΛΕΓΧΟΣ ΠΑΤΡΟΤΗΤΑΣ ΜΕ STRS MARKERS	
18.04.01.03.032	Sequence Based Typing	SBT for Primary Immunodeficiencies	ΓΟΝΙΔΙΑΚΟΣ ΚΑΘΟΡΙΣΜΟΣ ΑΛΛΗΛΟΥΧΙΩΝ ΒΑΣΕΩΝ (SEQUENCING) ΓΙΑ ΤΥΠΟΠΟΙΗΣΗ ΠΡΩΤΟΠΑΘΩΝ ΑΝΟΣΟΑΝΕΠΑΡΚΕΙΩΝ	
18.04.01.03.033	Detection of T-cell clonality	PCR-ΤCR	ΕΛΕΓΧΟΣ ΚΛΩΝΙΚΟΤΗΤΑΣ ΥΠΟΔΟΧΕΑ Τ-ΛΕΜΦΟΚΥΤΤΑΡΩΝ	
18.04.01.03.034	Detection of B-cell clonality	PCR-BCR	ΕΛΕΓΧΟΣ ΚΛΩΝΙΚΟΤΗΤΑΣ ΥΠΟΔΟΧΕΑ B-ΛΕΜΦΟΚΥΤΤΑΡΩΝ	
18.04.01.03.035	Proteins, enzymes genotyping		ΓΟΝΟΤΥΠΟΣ ΠΡΩΤΕΙΝΩΝ, ΕΝΖΥΜΩΝ, Κ.Α. ΜΕ ΜΟΡΙΑΚΕΣ ΤΕΧΝΙΚΕΣ (PCR)	
18.04.01.03.036	ACE Genotype		ΓΟΝΟΤΥΠΟΣ ΑCE	
18.04.01.90.900	Unclassifiable and Other Tissue Typing Reagents		ΑΛΛΗ ΤΥΠΟΠΟΙΗΣΗ ΑΝΤΙΓΟΝΩΝ ΙΣΤΟΣΥΜΒΑΤΟΤΗΤΑΣ	
18.05.01.20.001	Complement Depented cytotoxicity Crossmatch	CDC XM	ΔΙΑΣΤΑΥΡΩΣΗ HLA ΣΥΜΒΑΤΟΤΗΤΑΣ (CROSSMATCH) ΜΕ ΛΕΜΦΟΚΥΤΤΑΡΟΤΟΞΙΚΗ ΜΕΘΟΔΟ ΜΕ ΟΛΙΚΑ ΛΕΜΦΟΚΥΤΤΑΡΑ	
18.05.01.21.001	Complement Depented cytotoxicity T- Crossmatch	CDC-T XM	ΔΙΑΣΤΑΥΡΩΣΗ HLA ΣΥΜΒΑΤΟΤΗΤΑΣ (CROSSMATCH) ΜΕ ΛΕΜΦΟΚΥΤΤΑΡΟΤΟΞΙΚΗ ΜΕΘΟΔΟ ΜΕ Τ ΛΕΜΦΟΚΥΤΤΑΡΑ	
18.05.01.22.001	Complement Depented cytotoxicity B- Crossmatch	CDC-B XM	ΔΙΑΣΤΑΥΡΩΣΗ HLA ΣΥΜΒΑΤΟΤΗΤΑΣ (CROSSMATCH) ΜΕ ΛΕΜΦΟΚΥΤΤΑΡΟΤΟΞΙΚΗ ΜΕΘΟΔΟ ΜΕ Β ΛΕΜΦΟΚΥΤΤΑΡΑ	
18.05.01.23.001	Flow Cytometry T-Crossmatch	FC-T XM	ΔΙΑΣΤΑΥΡΩΣΗ HLA ΣΥΜΒΑΤΟΤΗΤΑΣ (CROSSMATCH) ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΜΕ Τ ΛΕΜΦΟΚΥΤΤΑΡΑ	
18.05.01.24.001	Flow Cytometry B-Crossmatch	FC-B XM	ΔΙΑΣΤΑΥΡΩΣΗ HLA ΣΥΜΒΑΤΟΤΗΤΑΣ (CROSSMATCH) ΜΕ ΚΥΤΤΑΡΟΜΕΤΡΙΑ ΡΟΗΣ ΜΕ Β ΛΕΜΦΟΚΥΤΤΑΡΑ	
18.05.01.25.001	Luminex/ELISA Complement Depented cytotoxicity Crossmatch	LMX / ELISA XM	ΔΙΑΣΤΑΥΡΩΣΗ HLA ΣΥΜΒΑΤΟΤΗΤΑΣ (CROSSMATCH) ΜΕ LUMINEX H ELISA	
18.05.01.26.001	Endothelial cell crossmatch XM-ONE	XM-ONE	ΔΙΑΣΤΑΥΡΩΣΗ ΣΥΜΒΑΤΟΤΗΤΑΣ (CROSSMATCH) ΜΕ TIE-2(+) ΚΥΤΤΑΡΑ-ΕΝΔΟΘΗΛΙΑΚΟ CROSSMATCH	
18.05.01.90.900	Other Crossmatch tests		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΔΙΑΣΤΑΥΡΩΣΗΣ HLA ΣΥΜΒΑΤΟΤΗΤΑΣ	
18.10.01.01.001	ANA Screening	ANA	ΑΝΤΙΠΥΡΗΝΙΚΑ ΑΝΤΙΣΩΜΑΤΑ	
18.10.01.02.001	ENA Screening	Αντι-ENA	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΕΚΧΥΛΙΣΙΜΩΝ ΑΝΤΙΓΟΝΩΝ ΤΟΥ ΠΥΡΗΝΑ	
18.10.01.03.001	Anti cytoplasmic - Antibodies	ANCA	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΚΥΤΤΑΡΟΠΛΑΣΜΑΤΙΚΩΝ ΑΝΤΙΓΟΝΩΝ ΤΩΝ ΟΥΔΕΤΕΡΟΦΙΛΩΝ	
18.10.01.05.001	Anti-ds DNA - Antibodies	Anti-dsDNA	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΔΙΠΛΗΣ ΕΛΙΚΑΣ ΤΟΥ DNA (ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ)	
18.10.01.07.001	Histones (H1,H2a,H3,H4,…Hn)		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΙΣΤΟΝΙΚΩΝ ΠΡΩΤΕΙΝΩΝ	
18.10.01.08.001	Anti-Jo-1 Antibodies	Αντι-Jo	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΙΣΤΙΔΥΛ-tRNA ΣΥΝΘΕΤΑΣΗΣ	
18.10.01.09.001	PM-Scl - Antibodies	Αντι-PM-Scl	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΠΟΛΥΜΥΟΣΙΤΙΔΑΣ- ΣΚΛΗΡΟΔΕΡΜΑΤΟΣ	
18.10.01.10.001	Anti-Scl-70 Antibodies	Αντι-Scl-70	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΣΚΛΗΡΟΔΕΡΜΑΤΟΣ 70	
18.10.01.11.001	Anti-Sm Antibodies	Αντι-Sm	ΑΝΤΙ-Sm ΑΝΤΙΣΩΜΑΤΑ	
18.10.01.12.001	Anti-SS-A Antibodies	Αντι-SSA	ΑΝΤΙ-SSA (Ro) ΑΝΤΙΣΩΜΑΤΑ	ΑΝΤΙ-Ro
18.10.01.13.001	Anti-SS-B Antibodies	Αντi-SSB	ΑΝΤI-SSB (La) ΑΝΤΙΣΩΜΑΤΑ	ΑΝΤΙ-La
18.10.01.14.001	Anti-U1-snRNP - Antibodies	Αντι-U1-snRNP	ΑΝΤΙ-U1-snRNP	
18.10.01.15.001	Anti-centromere Antibodies	Αντι-Cenp-B	ΑΝΤΙΚΕΝΤΡΟΜΕΡΙΔΙΑΚΑ ΑΝΤΙΣΩΜΑΤΑ	
18.10.01.90.900	Other Other Auto-Immune Disease Tests		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΓΙΑ ΑΥΤΟΑΝΟΣΑ ΝΟΣΗΜΑΤΑ ΤΟΥ ΣΥΝΔΕΤΙΚΟΥ ΙΣΤΟΥ	
18.10.02.01.001	Anti-Ganglioside-Antibodies Total		ΟΛΙΚΑ ΑΝΤΙ-ΓΑΓΛΙΟΣΙΔΙΚΑ ΑΝΤΙΣΩΜΑΤΑ	
18.10.02.02.001	Anti-GM1		ΑΝΤΙ-ΓΑΓΛΙΟΣΙΔΙΚΑ Μ1	
18.10.02.03.001	Asialo-GM1		ΑΝΤΙ-ΑΣΙΑΛΟΓΑΓΛΙΟΣΙΔΙΚΑ	
18.10.02.04.001	Anti-GD1b		ANTI-GD1B	
18.10.02.05.001	Gal(b1-3)		GAL (B1-3)	
18.10.02.06.001	GalNAc		GalNAC	
18.10.02.07.001	Anti-MAG (Myelin Associated Glycoprotein)		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΜΥΕΛΙΝΗΣ ΣΥΝΔΕΟΜΕΝΗΣ ΜΕ ΓΛΥΚΟΠΡΩΤΕΙΝΗ	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΜΥΕΛΙΝΗΣ (ΓΛΥΚΟΠΡΩΤΕΙΝΗΣ MAG)
18.10.02.08.001	Anti-CAR (Cancer Associated Retinopathy)		ANTI-CAR ΑΝΤΙΣΩΜΑΤΑ	
18.10.02.09.001	Anti-Hu Antibody	ANNA-1	ΑΝΤΙΝΕΥΡΩΝΙΚΑ ΑΝΤΙΣΩΜΑΤΑ ΤΥΠΟΥ 1	
18.10.02.10.001	Anti-Yo Antibody	PCA-1	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΚΥΤΤΑΡΩΝ ΤΟΥ PURKINJE	
18.10.02.11.001	Anti-Ri Antibody	ANNA-2	ΑΝΤΙΝΕΥΡΩΝΙΚΑ ΑΝΤΙΣΩΜΑΤΑ ΤΥΠΟΥ 2	
18.10.02.12.001	Anti-GQ1b		ANTI-GQ1b	
18.10.02.90.900	Other Neuro-Auto-Immune Disease		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΓΙΑ ΝΕΥΡΟ-ΑΥΤΟΑΝΟΣΑ ΝΟΣΗΜΑΤΑ	
18.10.03.01.001	Thyroid Peroxidase (incl. Microsomal) Antibodies	Anti-TPO	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΗΣ ΘΥΡΕΟΕΙΔΙΚΗΣ ΥΠΕΡΟΞΕΙΔΑΣΗΣ (TPO)	ΑΝΤΙΜΙΚΡΟΣΩΜΙΑΚΑ ΑΝΤΙΣΩΜΑΤΑ
18.10.03.03.001	TSH Receptor Antibodies	TSI	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΥΠΟΔΟΧΕΑ ΤΗΣ TSH	
18.10.03.04.001	Thyroglobulin Autoantibody	Anti-TG	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΗΣ ΘΥΡΕΟΣΦΑΙΡΙΝΗΣ (Tg)	ΑΝΤΙ-ΘΥΡΕΟΣΦΑΙΡΙΝΙΚΑ ΑΝΤΙΣΩΜΑΤΑ
18.10.03.90.900	Other Thyroid-Auto-Immune Disease		ΑΛΛΕΣ ΕΞΕΤΑΣΕΙΣ ΓΙΑ ΑΥΤΟΑΝΟΣΑ ΝΟΣΗΜΑΤΑ ΤΟΥ ΘΥΡΕΟΕΙΔΟΥΣ	
18.10.90.01.001	Anti-Cardiolipin Antibodies	ACA	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΚΑΡΔΙΟΛΙΠΙΝΗΣ (IgG, IgM)	
18.10.90.02.001	Anti-Mitochondrial Antibodies	AMA	ΑΝΤΙΜΙΤΟΧΟΝΔΡΙΑΚΑ ΑΝΤΙΣΩΜΑΤΑ	
18.10.90.03.001	Anti-Phosphatidylserin Antibodies	APLS	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΦΩΣΦΑΤΙΔΥΛΟΣΕΡΙΝΗΣ (IgG, IgM)	
18.10.90.04.001	Anti-b2-Glycoprotein I Antibodies	b2GPI	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ β2- ΓΛΥΚΟΠΡΩΤΕΙΝΗΣ I (IgG, IgM)	
18.10.90.06.001	Gliadin Antibodies		ΑΝΤΙΓΛΙΑΔΙΝΙΚΑ ΑΝΤΙΣΩΜΑΤΑ (IgA, IgG)	
18.10.90.08.001	LKM1 and Related Proteins Antibodies		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΜΙΚΡΟΣΩΜΙΑΚΟΥ ΑΝΤΙΓΟΝΟΥ ΤΟΥ ΗΠΑΤΟΣ-ΝΕΦΡΟΥ (LKM)	
18.10.90.09.001	MPO ANCA	MPO	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΜΥΕΛΟΫΠΕΡΟΞΕΙΔΑΣΗΣ	
18.10.90.10.001	PR3 ANCA	PR3	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΠΡΩΤΕΙΝΑΣΗΣ 3	
18.10.90.11.001	Anti-Parietal Cell Antibodies	APCA	ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΙΧΩΜΑΤΙΚΩΝ ΚΥΤΤΑΡΩΝ ΣΤΟΜΑΧΟΥ	
18.10.90.12.001	Sp 100 Antibodies		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΤΟΥ ΠΥΡΗΝΙΚΟΥ ΑΝΤΙΓΟΝΟΥ SP 100	
18.10.90.13.001	Sperm Antibodies		ΑΝΤΙΣΠΕΡΜΑΤΙΚΑ ΑΝΤΙΣΩΜΑΤΑ	
18.10.90.15.001	Antibodies to Glomerular Basal Membrane		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΒΑΣΙΚΗΣ ΜΕΜΒΡΑΝΗΣ ΤΟΥ ΣΠΕΙΡΑΜΑΤΟΣ	Goodpasture Antibodies
18.10.90.16.001	Antibodies to endomysial Autoantigens		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΕΝΔΟΜΥΪΟΥ (IgA, IgG)	
18.10.90.17.001	Antibodies to soluble Liver antigens		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΔΙΑΛΥΤΟΥ ΑΝΤΙΓΟΝΟΥ ΤΟΥ ΉΠΑΤΟΣ	
18.10.90.18.001	Nucleosome Antibodies		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΝΟΥΚΛΕΟΣΩΜΑΤΟΣ	
18.10.90.19.001	Saccharomyces cerevisiae Antibodies		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ SACCHAROMYCES CEREVISIAE (IgA, IgG)	
18.10.90.20.001	Ribosomal Phosphoprotein Antibodies		ΑΝΤΙΣΩΜΑΤΑ ΕΝΑΝΤΙ ΡΙΒΟΣΩΜΙΑΚΗΣ Ρ ΠΡΩΤΕΙΝΗΣ	
